city,post_neutral,post_negative,post_positive,total_posts,comment_positive,comment_negative,comment_neutral,total_comments,sentiment_score
Braunschweig,311,119,70,500,2120,3305,3392,8817,-0.21980762379764873
Leipzig,330,122,48,500,3581,9460,7230,20271,-0.45060934070093106
Mainz,344,108,48,500,1893,2471,3040,7404,-0.14115044247787611
Munich,349,96,55,500,5368,10362,9361,25091,-0.3170455261003715
Wolfsburg,26,5,7,38,29,24,26,79,0.1076923076923077
aachen,353,109,38,500,2282,6501,4610,13393,-0.48040313549832026
kiel,301,144,55,500,2473,5700,4624,12797,-0.39608217869087436
koeln,251,68,34,353,292,319,448,1059,-0.08555399719495091
mannheim,356,104,40,500,1889,4015,3487,9391,-0.3621031746031746
stuttgart,335,116,49,500,3066,7573,6413,17052,-0.42336171788226584
trier,316,91,93,500,1009,1166,1625,3800,-0.06570580754557016
wuppertal,362,86,52,500,1811,2539,2818,7168,-0.1697860962566845
Berlin,363,108,29,500,8197,24237,15673,48107,-0.4948880906327715
Hamburg,361,97,42,500,5037,13111,9927,28075,-0.44452343194619126
Hannover,669,234,97,1000,5680,8109,9615,23404,-0.18172804532577905
goettingen,338,99,63,500,1055,1179,1754,3988,-0.0667779632721202
