
city	            post_neutral	post_negative	post_positive	total_posts	comment_positive	comment_negative	comment_neutral	total_comments
0	Braunschweig	311	            119	            70	            500	        2120	            3305	            3392	        8817
1	Leipzig	        330	            122	            48	            500	        3581	            9460	            7230	        20271
2	Mainz	        344	            108	            48	            500	        1893	            2471	            3040	        7404
3	Munich	        349         	96	            55	            500     	5368	            10362       	    9361        	25091
4	Wolfsburg	    26	            5	            7	            38	        29	                24	                26	            79
5	aachen	        353	            109	            38	            500	        2282	            6501	            4610	        13393
6	kiel	        301	            144	            55	            500	        2473	            5700	            4624	        12797
7	koeln	        251	            68	            34	            353	        292	                319	                448	            1059
8	mannheim	    356	            104	            40	            500	        1889	            4015	            3487	        9391
9	stuttgart	    335	            116	            49	            500	        3066	            7573	            6413	        17052
10	trier	        316	            91	            93	            500	        1009	            1166	            1625	        3800
11	wuppertal	    362	            86	            52	            500	        1811	            2539	            2818	        7168
